frozenset({'baking powder'})	of	frozenset({'whole milk'})	: 0.5229885057471264
frozenset({'citrus fruit', 'whipped/sour cream'})	of	frozenset({'other vegetables'})	: 0.5233644859813085
frozenset({'root vegetables', 'newspapers'})	of	frozenset({'whole milk'})	: 0.504424778761062
frozenset({'brown bread', 'tropical fruit'})	of	frozenset({'whole milk'})	: 0.5333333333333333
frozenset({'root vegetables', 'tropical fruit'})	of	frozenset({'whole milk'})	: 0.570048309178744
frozenset({'butter', 'yogurt'})	of	frozenset({'whole milk'})	: 0.6388888888888888
frozenset({'tropical fruit', 'domestic eggs'})	of	frozenset({'whole milk'})	: 0.6071428571428571
frozenset({'tropical fruit', 'whipped/sour cream'})	of	frozenset({'whole milk'})	: 0.573529411764706
frozenset({'yogurt', 'coffee'})	of	frozenset({'whole milk'})	: 0.5208333333333333
frozenset({'root vegetables', 'whipped/sour cream'})	of	frozenset({'other vegetables'})	: 0.5
frozenset({'other vegetables', 'long life bakery product'})	of	frozenset({'whole milk'})	: 0.5333333333333333
frozenset({'fruit/vegetable juice', 'root vegetables'})	of	frozenset({'whole milk'})	: 0.5423728813559322
frozenset({'root vegetables', 'pip fruit'})	of	frozenset({'other vegetables'})	: 0.5228758169934641
frozenset({'margarine', 'rolls/buns'})	of	frozenset({'whole milk'})	: 0.5379310344827587
frozenset({'root vegetables', 'butter'})	of	frozenset({'other vegetables'})	: 0.5118110236220472
frozenset({'butter', 'whipped/sour cream'})	of	frozenset({'whole milk'})	: 0.66
frozenset({'butter', 'domestic eggs'})	of	frozenset({'whole milk'})	: 0.6210526315789474
frozenset({'curd', 'whipped/sour cream'})	of	frozenset({'whole milk'})	: 0.5631067961165048
frozenset({'root vegetables', 'onions'})	of	frozenset({'other vegetables'})	: 0.6021505376344086
frozenset({'root vegetables', 'pork'})	of	frozenset({'other vegetables'})	: 0.5149253731343284
frozenset({'root vegetables', 'whipped/sour cream'})	of	frozenset({'whole milk'})	: 0.5535714285714286
frozenset({'pastry', 'yogurt'})	of	frozenset({'whole milk'})	: 0.5172413793103449
frozenset({'yogurt', 'frankfurter'})	of	frozenset({'whole milk'})	: 0.5545454545454546
frozenset({'root vegetables', 'newspapers'})	of	frozenset({'other vegetables'})	: 0.5221238938053098
frozenset({'yogurt', 'pip fruit'})	of	frozenset({'whole milk'})	: 0.5310734463276836
frozenset({'rolls/buns', 'pork'})	of	frozenset({'whole milk'})	: 0.5495495495495495
frozenset({'beef', 'rolls/buns'})	of	frozenset({'whole milk'})	: 0.5
frozenset({'other vegetables', 'hygiene articles'})	of	frozenset({'whole milk'})	: 0.5425531914893618
frozenset({'tropical fruit', 'whipped/sour cream'})	of	frozenset({'other vegetables'})	: 0.5661764705882353
frozenset({'root vegetables', 'domestic eggs'})	of	frozenset({'whole milk'})	: 0.5957446808510639
frozenset({'pastry', 'root vegetables'})	of	frozenset({'whole milk'})	: 0.5185185185185185
frozenset({'citrus fruit', 'root vegetables'})	of	frozenset({'whole milk'})	: 0.5172413793103449
frozenset({'citrus fruit', 'whipped/sour cream'})	of	frozenset({'whole milk'})	: 0.5794392523364487
frozenset({'other vegetables', 'butter'})	of	frozenset({'whole milk'})	: 0.5736040609137055
frozenset({'whipped/sour cream', 'rolls/buns'})	of	frozenset({'whole milk'})	: 0.5347222222222222
frozenset({'bottled water', 'butter'})	of	frozenset({'whole milk'})	: 0.6022727272727273
frozenset({'whipped/sour cream', 'pip fruit'})	of	frozenset({'other vegetables'})	: 0.6043956043956045
frozenset({'whole milk', 'onions'})	of	frozenset({'other vegetables'})	: 0.546218487394958
frozenset({'root vegetables', 'pip fruit'})	of	frozenset({'whole milk'})	: 0.5751633986928104
